YYYYQ,DUR,HOM,CAR
19781,2.536929761042723,2.6350470673425055,3.154960173787111
19782,2.4177307551988325,2.6125501641736593,3.041955490696826
19783,2.412157153446998,2.7672349888806522,3.186434395848777
19784,2.7765494137353435,3.0160804020100502,3.4603015075376886
19791,2.4104180491041807,2.925680159256802,3.1974120769741208
19792,2.522775909507796,2.891164781412412,3.4050749006420054
19793,2.6817772440708496,3.0825577904533175,3.419693785649955
19794,2.8071172248803826,3.547248803827751,3.3797846889952154
19801,2.7342685370741484,3.5887775551102203,3.2909819639278557
19802,3.389099526066351,4.111374407582939,3.6113744075829386
19803,3.0747011952191237,3.348605577689243,3.4053784860557768
19804,2.962172647914646,3.8186226964112513,3.518913676042677
19811,3.019825918762089,4.174081237911025,3.503868471953578
19812,2.9178149606299213,3.9803149606299213,3.377952755905512
19813,2.845410628019324,4.15024154589372,3.3729468599033816
19814,3.1141226818830243,4.22491678554446,3.655729909652877
19821,2.9185823754789273,4.133141762452107,3.431992337164751
19822,3.1564885496183206,4.087786259541985,3.3931297709923665
19823,3.1291406625060008,4.036965914546327,3.484397503600576
19824,3.0819112627986347,3.415407118478791,3.1618722574353972
19831,2.9084810733109725,3.0143747005270725,2.8888356492573073
19832,2.485148514851485,2.3856671381423857,2.445073078736445
19833,2.460379192999514,2.679144385026738,2.565872630043753
19834,2.5920612147297946,2.874701099952176,2.868962219033955
19841,2.223404255319149,2.6117021276595747,2.63394584139265
19842,2.256867469879518,2.695903614457831,2.7050602409638556
19843,2.228655544651619,3.0206084396467126,2.6884200196270855
19844,2.3202830188679244,2.904245283018868,2.8688679245283017
19851,2.0723819301848048,2.5,2.53388090349076
19852,2.098088531187123,2.432092555331992,2.4527162977867203
19853,2.227249357326478,2.1197943444730076,2.4246786632390744
19854,2.325319693094629,2.2925831202046036,2.4710997442455245
19861,2.065482233502538,1.9979695431472082,2.253299492385787
19862,2.0862506341958396,1.688990360223237,2.121765601217656
19863,2.059686393525544,1.7379868487607486,2.0647445624683862
19864,2.2520408163265304,1.8403061224489796,2.5270408163265308
19871,2.2372708757637474,1.8925661914460286,2.7240325865580446
19872,2.190597853857946,1.9248850281042411,2.5978538579458355
19873,2.189769820971867,2.1744245524296675,2.5452685421994885
19874,2.4050632911392404,2.403730846102598,2.725516322451699
19881,2.317576564580559,2.3428761651131826,2.7949400798934754
19882,2.141622340425532,2.1934840425531914,2.6808510638297873
19883,2.1778814123917387,2.3224516988674218,2.7968021319120586
19884,2.2259774685222,2.49039098740888,2.7117296222664016
19891,2.2042581503659346,2.4777112441783102,2.694610778443114
19892,2.2629139072847684,2.6781456953642384,2.6688741721854305
19893,2.2306163021868786,2.389662027833002,2.656726308813784
19894,2.429427430093209,2.514647137150466,2.748335552596538
19901,2.147291941875826,2.4332892998678997,2.603698811096433
19902,2.1074270557029178,2.3978779840848805,2.5258620689655173
19903,2.2769640479360853,2.5026631158455395,2.6877496671105194
19904,2.722811671087533,2.826923076923077,3.0742705570291777
19911,2.7446393762183234,2.335282651072125,2.833658219623132
19912,2.5379494007989347,2.1005326231691077,2.5233022636484685
19913,2.428761651131824,2.025299600532623,2.5466045272969375
19914,2.772847682119205,2.1172185430463575,2.74635761589404
19921,2.795783926218709,1.816205533596838,2.579710144927536
19922,2.487674883411059,1.8081279147235176,2.5003331112591605
19923,2.5228023793787178,1.7851949768671513,2.49438202247191
19924,2.5543766578249336,1.8474801061007957,2.527188328912467
19931,2.2724867724867726,1.7056878306878307,2.513888888888889
19932,2.291970802919708,1.6841406768414067,2.468480424684804
19933,2.311962987442168,1.5829477858559153,2.541969596827495
19934,2.282437745740498,1.5661861074705112,2.530799475753604
19941,1.9742574257425742,1.508910891089109,2.2442244224422443
19942,2.0715705765407555,1.7521537442014579,2.3949635520212063
19943,2.051265412070084,1.8669695003244646,2.45425048669695
19944,2.110372340425532,2.0585106382978724,2.5871010638297873
19951,1.890728476821192,2.3589403973509935,2.5993377483443707
19952,2.1017964071856285,2.2015968063872258,2.759148369926813
19953,2.060505319148936,1.8636968085106382,2.533909574468085
19954,2.27007299270073,2.108161911081619,2.793629727936297
19961,2.129568106312292,1.8730897009966778,2.6704318936877076
19962,2.212666666666667,1.976,2.760666666666667
19963,2.034643570952698,1.9360426382411726,2.5229846768820785
19964,2.0386151797603196,1.9454061251664447,2.603861517976032
19971,1.9487008660892737,1.8787475016655564,2.5769487008660894
19972,1.9493670886075949,1.9853431045969354,2.3484343770819454
19973,2.0766666666666667,1.81,2.654
19974,2.096,1.9793333333333334,2.6846666666666668
19981,2.107404936624416,1.8132088058705804,2.6357571714476316
19982,2.172,1.7686666666666666,2.525333333333333
19983,2.1412466843501328,1.759946949602122,2.6452254641909816
19984,2.007313829787234,1.5871010638297873,2.3843085106382977
19991,1.8917835671342684,1.6700066800267201,2.387441549766199
19992,1.8253333333333333,1.7633333333333334,2.334
19993,1.8414390406395735,2.0259826782145236,2.396402398401066
19994,2.011356045424182,2.1229124916499664,2.4916499665998666
20001,1.832339297548045,2.158383035122598,2.478462557985421
20002,1.7957418496340651,2.3912175648702596,2.5176314038589487
20003,1.9741379310344827,2.3614058355437666,2.500663129973475
20004,1.9713333333333334,2.3993333333333333,2.504
20011,2.3031312458361093,2.2158560959360427,2.6542305129913393
20012,2.4563624250499667,2.167888074616922,2.8720852764823452
20013,2.6309127248501,2.1552298467688207,2.7568287808127914
20014,2.532450331125828,1.9827814569536424,2.1364238410596026
20021,2.4106666666666667,1.9306666666666668,2.34
20022,2.324018629407851,1.9940119760479043,2.530938123752495
20023,2.366844207723036,1.9207723035952065,2.245672436750999
20024,2.4369189907038513,1.842629482071713,2.2822045152722445
20031,2.3293492695883136,1.899734395750332,2.312084993359894
20032,2.4073333333333333,1.764,2.1486666666666667
20033,2.200931470392548,1.8057218895542249,2.142381902860945
20034,2.221926910299003,1.7827242524916944,2.1222591362126244
20041,2.0112582781456956,1.7940397350993378,2.2072847682119203
20042,1.9702774108322325,1.8071334214002641,2.333553500660502
20043,2.0933156849768366,1.8630046326935805,2.315684976836532
20044,1.996013289036545,1.9308970099667775,2.302990033222591
20051,1.913920645595158,2.020174848688635,2.429051782111634
20052,1.9227696404793608,2.09254327563249,2.5319573901464714
20053,2.0649606299212597,2.311679790026247,2.4028871391076114
20054,2.275065963060686,2.5567282321899736,2.6477572559366753
20061,1.9445187165775402,2.628342245989305,2.552139037433155
20062,2.184717607973422,2.61063122923588,2.7521594684385384
20063,2.1452254641909816,2.7559681697612732,2.643236074270557
20064,2.0790172642762283,2.4269588313413015,2.4634794156706508
20071,2.113456464379947,2.336411609498681,2.5692612137203166
20072,2.237748344370861,2.3443708609271523,2.6867549668874173
20073,2.3146437994722957,2.586411609498681,2.5798153034300793
20074,2.509647371922821,2.4743845642049234,2.810379241516966
20081,2.6253315649867375,2.413129973474801,2.944297082228117
20082,3.071994715984148,2.3778071334214004,3.224570673712021
20083,2.998671096345515,2.2245847176079736,3.008637873754153
20084,3.2406064601186553,2.4561634805537245,2.879367172050099
20091,3.1883674818241903,2.1652346331791144,2.604097818902842
20092,3.0026333113890717,2.00329163923634,2.398946675444371
20093,2.965016501650165,2.036303630363036,2.4739273927392738
20094,2.7053749170537493,1.975447909754479,2.589250165892502
20101,2.513907284768212,2.043708609271523,2.66158940397351
20102,2.4478891820580473,1.9854881266490765,2.2869393139841687
20103,2.730211081794195,2.0138522427440635,2.6062005277044853
20104,2.577049180327869,2.0013114754098362,2.580327868852459
20111,2.6371447455386647,1.9986781229345671,2.6741573033707864
20112,2.6492042440318304,2.1160477453580904,2.7665782493368702
20113,2.9993297587131367,2.246648793565684,2.9886058981233243
20114,2.792666666666667,2.09,2.826
20121,2.6934306569343067,1.9814200398142003,2.732581287325813
20122,2.698201199200533,1.9267155229846769,2.6242504996668887
20123,2.5512736773350753,1.8778576094056172,2.5480078380143696
20124,2.5445544554455446,1.8666666666666667,2.6627062706270626
20131,2.3375499334221037,1.8508655126498004,2.5652463382157125
20132,2.386499007279947,1.788881535407015,2.4632693580410323
20133,2.3674818241903504,1.8182419035029742,2.577660277594184
20134,2.4,1.8960264900662251,2.600662251655629
20141,2.2554455445544552,1.9452145214521452,2.541254125412541
20142,2.372277227722772,1.970957095709571,2.5504950495049505
20143,2.2488418266048975,1.9384513567174058,2.5043017868960953
20144,2.0610889774236387,1.8227091633466135,2.2828685258964145
20151,1.9788639365918097,1.8051519154557463,2.2562747688243063
20152,1.9880715705765408,1.797216699801193,2.298873426110007
20153,2.0690095846645367,1.8900958466453675,2.379552715654952
20154,1.9144173798551678,1.901250822909809,2.2639894667544436
20161,1.9156471345782358,1.9414037347070188,2.231809401159047
20162,1.9375394321766561,1.9444794952681388,2.216403785488959
20163,1.9766187050359711,1.9436450839328536,2.381294964028777
20164,1.940123111359821,2.089535534415221,2.4818130945719084
20171,1.9014396456256921,1.978405315614618,2.2109634551495017
20172,1.9163456246560264,2.0803522289488168,2.3450742982938912
20173,1.9174463401210786,2.2030820033021463,2.419922949917446
20174,1.7805953693495038,2.133406835722161,2.24090407938258
20181,1.749189189189189,2.2421621621621624,2.368108108108108
20182,1.8737596471885336,2.2006615214994487,2.3726571113561192
20183,1.9692814042786615,2.3208996160175537,2.5842018650575973
20184,1.8566685113447703,2.420033204205866,2.6657443276148314
20191,1.9922308546059933,2.411209766925638,2.633185349611543
20192,2.005540166204986,2.3119113573407204,2.5473684210526315
20193,2.0792682926829267,2.350332594235033,2.555986696230599
20194,1.9060052219321149,2.268929503916449,2.4182767624020887
20201,2.031557165028453,2.2348680807035697,2.5602690118986033
20202,3.0196808510638298,2.6372340425531915,2.447340425531915
20203,2.8540772532188843,2.3374463519313307,2.542381974248927
20204,2.820441988950276,2.3049723756906078,2.730939226519337
20211,2.6896742131419105,2.4908890115958036,2.8641634456101603
20212,2.7922865013774105,3.1922865013774104,3.128925619834711
20213,3.2098017621145374,3.701541850220264,3.7136563876651985
20214,3.4488667772249864,3.5627418463239358,3.9640685461580984
20221,3.5160753880266076,3.587583148558758,4.142461197339246
20222,3.6600110926234053,4.03771491957848,4.264004437049362
20223,3.6541019955654104,4.056541019955654,4.242239467849224
20224,3.480022197558269,4.29023307436182,4.091009988901221
20231,3.305324459234609,4.095673876871881,3.7462562396006653
