YYYYQ,PAGO,PEXP,RINC
19781,2.783128167994207,2.8725561187545257,3.622013034033309
19782,2.7913170375775262,2.8894564027727108,3.7376869755563664
19783,2.8217197924388437,2.911415863602669,3.7765011119347665
19784,2.926298157453936,3.181574539363484,3.8559463986599667
19791,2.8795620437956204,3.0776376907763767,3.870272063702721
19792,3.0764292265362276,3.2623051054723327,3.9700397431977987
19793,3.0600420294205946,3.130591413989793,3.8772140498348846
19794,3.2069377990430623,3.0936004784688995,3.8806818181818183
19801,3.2188376753507013,3.119438877755511,3.864128256513026
19802,3.356872037914692,3.1360189573459714,3.7976303317535547
19803,3.1847609561752988,2.962649402390438,3.7156374501992033
19804,3.292434529582929,3.0708050436469447,3.7691561590688654
19811,3.3007736943907156,2.9859767891682787,3.6866537717601546
19812,3.1948818897637796,2.844488188976378,3.5531496062992125
19813,3.0159420289855072,2.8357487922705316,3.524154589371981
19814,3.164051355206847,2.8649548264384213,3.572039942938659
19821,3.1585249042145596,2.9090038314176243,3.4669540229885056
19822,3.129293893129771,2.8592557251908395,3.4790076335877864
19823,3.155544887181949,2.8079692750840133,3.485837734037446
19824,3.1491955143832278,2.7776694295465627,3.4334470989761092
19831,3.1068519405845714,2.7057977958792527,3.4413033061811213
19832,2.7996228194247994,2.479019330504479,3.252710985384253
19833,2.769081186193486,2.6251823043266893,3.363150218765192
19834,2.692491630798661,2.606886657101865,3.3553323768531804
19841,2.5933268858800775,2.526595744680851,3.2016441005802707
19842,2.5373493975903614,2.5508433734939757,3.2636144578313253
19843,2.50441609421001,2.5814524043179587,3.2154072620215897
19844,2.543867924528302,2.568396226415094,3.2169811320754715
19851,2.575975359342916,2.6057494866529773,3.2335728952772076
19852,2.555835010060362,2.6056338028169015,3.2595573440643864
19853,2.648843187660668,2.638560411311054,3.2303341902313623
19854,2.6250639386189256,2.544245524296675,3.252173913043478
19861,2.5431472081218276,2.568020304568528,3.283756345177665
19862,2.5266362252663623,2.512937595129376,3.262810755961441
19863,2.5159332321699543,2.5513404147698533,3.195751138088012
19864,2.6168367346938775,2.603061224489796,3.3214285714285716
19871,2.595723014256619,2.585030549898167,3.360488798370672
19872,2.601430761369443,2.6423096576392435,3.3229432805314256
19873,2.5508951406649616,2.632225063938619,3.39386189258312
19874,2.659560293137908,2.6429047301798803,3.3037974683544302
19881,2.5139813581890813,2.4687083888149135,3.2902796271637818
19882,2.632978723404255,2.575132978723404,3.3377659574468086
19883,2.5223184543637576,2.6309127248501,3.3324450366422385
19884,2.709741550695825,2.6845593108018555,3.4261100066269052
19891,2.541583499667332,2.528276779773786,3.3932135728542914
19892,2.633112582781457,2.5834437086092716,3.456953642384106
19893,2.6381709741550696,2.5778661365142477,3.456593770709079
19894,2.6451398135818907,2.5725699067909455,3.3575233022636484
19901,2.6591809775429325,2.642007926023778,3.451783355350066
19902,2.586870026525199,2.5484084880636604,3.326259946949602
19903,2.7490013315579227,2.676431424766977,3.433422103861518
19904,3.047745358090186,2.9748010610079576,3.6591511936339525
19911,2.9603638726445745,2.6855100714749836,3.40675763482781
19912,2.9174434087882823,2.6684420772303596,3.5039946737683088
19913,2.892809587217044,2.6717709720372835,3.4360852197070573
19914,3.124503311258278,2.7278145695364238,3.5298013245033113
19921,3.0968379446640317,2.793148880105402,3.492094861660079
19922,3.004663557628248,2.6955363091272484,3.3477681545636244
19923,3.0118968935888963,2.7766027759418375,3.4639788499669533
19924,2.9608753315649867,2.753978779840849,3.397214854111406
19931,2.8492063492063493,2.749338624338624,3.374338624338624
19932,2.8779031187790314,2.8347710683477105,3.51692103516921
19933,2.9312623925974886,2.9358889623265036,3.456708526107072
19934,2.8355176933158583,2.81651376146789,3.4836173001310615
19941,2.780858085808581,2.6831683168316833,3.3485148514851484
19942,2.681245858184228,2.6507620941020544,3.4314115308151094
19943,2.701492537313433,2.5801427644386763,3.4866969500324463
19944,2.71875,2.5977393617021276,3.418218085106383
19951,2.6072847682119207,2.6145695364238413,3.3781456953642386
19952,2.592149035262808,2.5548902195608783,3.3679308050565537
19953,2.5944148936170213,2.595744680851064,3.3610372340425534
19954,2.7392169873921697,2.6410086264100863,3.4505640345056405
19961,2.699003322259136,2.5807308970099667,3.4186046511627906
19962,2.616,2.6113333333333335,3.4673333333333334
19963,2.6515656229180546,2.5742838107928048,3.33311125916056
19964,2.571238348868176,2.48069241011984,3.318242343541944
19971,2.596269153897402,2.4337108594270487,3.2911392405063293
19972,2.4210526315789473,2.4477015323117923,3.3111259160559627
19973,2.437333333333333,2.362,3.296666666666667
19974,2.484,2.386,3.2426666666666666
19981,2.3375583722481657,2.3162108072048033,3.236157438292195
19982,2.4033333333333333,2.4326666666666665,3.21
19983,2.356763925729443,2.4224137931034484,3.094164456233422
19984,2.3503989361702127,2.4753989361702127,3.22406914893617
19991,2.3132932531730126,2.4462257849031395,3.115564462257849
19992,2.264,2.4513333333333334,3.266
19993,2.295136575616256,2.3984010659560293,3.2385076615589607
19994,2.3486973947895793,2.4635938543754174,3.2511690046760187
20001,2.291583830351226,2.356527501656726,3.2213386348575215
20002,2.3379906852960746,2.413173652694611,3.260811709913506
20003,2.4794429708222814,2.413793103448276,3.2320954907161803
20004,2.398,2.4806666666666666,3.228666666666667
20011,2.5742838107928048,2.5889407061958694,3.3111259160559627
20012,2.736842105263158,2.54163890739507,3.3204530313124585
20013,2.7794803464357094,2.5949367088607596,3.2984676882078614
20014,2.884105960264901,2.5596026490066226,3.2701986754966885
20021,2.8386666666666667,2.418,3.279333333333333
20022,2.8183632734530937,2.449767132401863,3.335994677312043
20023,2.893475366178429,2.5166444740346203,3.298934753661784
20024,3.0219123505976095,2.49734395750332,3.304780876494024
20031,2.9840637450199203,2.600265604249668,3.347941567065073
20032,2.936,2.437333333333333,3.2746666666666666
20033,2.8223552894211577,2.5528942115768465,3.281437125748503
20034,2.826578073089701,2.5561461794019933,3.300332225913621
20041,2.7105960264900664,2.4701986754966887,3.2788079470198674
20042,2.7688243064729194,2.532364597093791,3.402906208718626
20043,2.6776968894771676,2.5228325612177365,3.4017207147584383
20044,2.7548172757475085,2.52624584717608,3.4106312292358805
20051,2.6260928043039677,2.5178211163416275,3.4156018829858774
20052,2.677097203728362,2.5978695073235687,3.493342210386152
20053,2.7191601049868765,2.6476377952755907,3.4586614173228347
20054,2.9076517150395778,2.730211081794195,3.5244063324538257
20061,2.6664438502673797,2.6550802139037435,3.522727272727273
20062,2.7880398671096347,2.7322259136212623,3.556810631229236
20063,2.8786472148541113,2.736074270557029,3.438992042440318
20064,2.651394422310757,2.585657370517928,3.3718459495351927
20071,2.636543535620053,2.6048812664907652,3.4604221635883907
20072,2.737748344370861,2.641721854304636,3.537748344370861
20073,2.79089709762533,2.6715039577836412,3.5527704485488125
20074,2.9347970725216235,2.8403193612774453,3.536926147704591
20081,3.1187002652519893,2.8647214854111405,3.590185676392573
20082,3.438573315719947,3.1816380449141346,3.8725231175693526
20083,3.443189368770764,2.9840531561461794,3.7322259136212623
20084,3.849703361898484,3.0988793671720503,3.7818061964403427
20091,3.7250495703899538,3.054857898215466,3.7713152676801056
20092,3.7070441079657668,2.84660961158657,3.802501645819618
20093,3.710891089108911,2.875247524752475,3.774917491749175
20094,3.6436629064366293,2.8646317186463173,3.795620437956204
20101,3.4940397350993377,2.9258278145695362,3.7867549668874174
20102,3.4195250659630605,2.928100263852243,3.809366754617414
20103,3.4604221635883907,3.032981530343008,3.8225593667546174
20104,3.39672131147541,2.9508196721311477,3.8052459016393443
20111,3.3417052214144083,3.0165234633179114,3.956378056840714
20112,3.34946949602122,3.0729442970822283,3.976790450928382
20113,3.5857908847184987,3.1668900804289546,3.920241286863271
20114,3.4806666666666666,3.042,3.8993333333333333
20121,3.228268082282681,2.957531519575315,3.867949568679496
20122,3.2278481012658227,3.040639573617588,3.8927381745502996
20123,3.2462442847811888,3.0809928151534947,3.859568909209667
20124,3.1075907590759075,3.067986798679868,3.8501650165016503
20131,3.1904127829560585,3.015978695073236,3.841544607190413
20132,3.0112508272667107,2.9622766379880874,3.780939774983455
20133,2.99074686054197,2.8922670191672175,3.769993390614673
20134,3.081456953642384,3.0490066225165564,3.7675496688741723
20141,2.9914191419141916,2.8633663366336632,3.7485148514851487
20142,2.8864686468646865,2.93003300330033,3.821122112211221
20143,2.86035737921906,2.887491727332892,3.7081403044341497
20144,2.8253652058432936,2.7755644090305447,3.6693227091633465
20151,2.5891677675033025,2.6657859973579923,3.521796565389696
20152,2.655400927766733,2.6096752816434723,3.4493041749502984
20153,2.670287539936102,2.7124600638977636,3.4875399361022366
20154,2.73798551678736,2.6366030283080972,3.4917709019091507
20161,2.6838377334191885,2.686413393432067,3.4159690920798456
20162,2.5652996845425866,2.680757097791798,3.4328075709779178
20163,2.6702637889688248,2.7517985611510793,3.4526378896882495
20164,2.630106323447118,2.7129266927811977,3.3307218802462226
20171,2.420265780730897,2.6362126245847177,3.3333333333333335
20172,2.422124380847551,2.506879471656577,3.2614199229499174
20173,2.3522289488167307,2.5008255365987893,3.291689598238855
20174,2.3500551267916205,2.4906284454244765,3.2133406835722162
20181,2.2724324324324323,2.4383783783783786,3.2837837837837838
20182,2.3020948180815877,2.4966923925027564,3.260749724366042
20183,2.2819528250137138,2.4547449259462426,3.2386176631925396
20184,2.3198671831765356,2.4964028776978417,3.262313226342003
20191,2.3640399556048837,2.4894561598224194,3.1376248612652606
20192,2.297506925207756,2.3933518005540164,3.2265927977839337
20193,2.3741685144124167,2.5133037694013303,3.246119733924612
20194,2.267362924281984,2.493994778067885,3.1503916449086162
20201,2.2596999482669426,2.562855664769788,3.1696844283497154
20202,2.8436170212765957,2.7106382978723405,3.3079787234042555
20203,2.79774678111588,2.749463519313305,3.2795064377682404
20204,2.6988950276243093,2.856353591160221,3.3187845303867403
20211,2.7840971838763116,2.827167310877968,3.3903920485919383
20212,2.562534435261708,2.7719008264462808,3.419283746556474
20213,2.734581497797357,2.8887665198237884,3.5440528634361232
20214,2.7650635710337204,2.970149253731343,3.6241017136539524
20221,3.0288248337028825,3.0920177383592016,3.6812638580931263
20222,3.255130338325014,3.1308929561841374,3.7476428175263448
20223,3.4412416851441243,3.077050997782705,3.717849223946785
20224,3.4916759156492785,3.0615982241953383,3.732519422863485
20231,3.2429284525790347,2.915973377703827,3.622296173044925
